age,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
41,Yes,rarely,sales,1,2,life_sciences,1,2,Female,94,3,2,sales_executive,4.0,single,5993.0,8,Yes,11,3,1,0,8,0.0,1,6,4,0,5.0
49,No,frequently,research_&_development,8,1,life_sciences,2,3,Male,61,2,2,research_scientist,2.0,married,5130.0,1,No,23,4,4,1,10,3.0,3,10,7,1,7.0
37,Yes,rarely,research_&_development,2,2,other,4,4,Male,92,2,1,laboratory_technician,3.0,single,2090.0,6,Yes,15,3,2,0,7,3.0,3,0,0,0,0.0
33,No,frequently,research_&_development,3,4,life_sciences,5,4,Female,56,3,1,research_scientist,3.0,married,2909.0,1,Yes,11,3,3,0,8,3.0,3,8,7,3,0.0
27,No,rarely,research_&_development,2,1,medical,7,1,Male,40,3,1,laboratory_technician,2.0,married,3468.0,9,No,12,3,4,1,6,3.0,3,2,2,2,2.0
32,No,frequently,research_&_development,2,2,life_sciences,8,4,Male,79,3,1,laboratory_technician,4.0,single,3068.0,0,No,13,3,3,0,8,2.0,2,7,7,3,6.0
59,No,rarely,research_&_development,3,3,medical,10,3,Female,81,4,1,laboratory_technician,1.0,married,2670.0,4,No,20,4,1,3,12,3.0,2,1,0,0,4.068783068783069
30,No,rarely,research_&_development,24,1,life_sciences,11,4,Male,67,3,1,laboratory_technician,3.0,divorced,2693.0,1,No,22,4,2,1,1,2.0,3,1,0,0,0.0
38,No,frequently,research_&_development,23,3,life_sciences,12,4,Male,44,2,3,manufacturing_director,3.0,single,9526.0,0,No,21,4,2,0,10,2.0,3,9,7,1,8.0
36,No,rarely,research_&_development,27,3,other,13,3,Male,94,3,2,healthcare_representative,3.0,married,5237.0,6,No,13,3,2,2,17,3.0,2,7,7,7,4.068783068783069
35,No,rarely,research_&_development,16,3,medical,14,1,Male,84,4,1,laboratory_technician,3.0,married,2426.0,0,No,13,3,3,1,6,5.0,3,5,4,0,3.0
29,No,rarely,research_&_development,15,2,life_sciences,15,4,Female,49,2,2,laboratory_technician,3.0,Desconocido,4193.0,0,Yes,12,3,4,0,10,3.0,3,9,5,0,4.068783068783069
31,No,rarely,research_&_development,26,1,life_sciences,16,1,Male,31,3,1,research_scientist,3.0,divorced,2911.0,1,No,17,3,4,1,5,1.0,2,5,2,4,3.0
34,No,rarely,research_&_development,19,2,medical,18,2,Male,93,3,1,laboratory_technician,4.0,divorced,2661.0,0,No,11,3,3,1,3,2.0,3,2,2,1,2.0
28,Yes,rarely,research_&_development,24,3,life_sciences,19,3,Male,50,2,1,laboratory_technician,3.0,single,2028.0,5,Yes,14,3,2,0,6,4.0,3,4,2,0,3.0
